team_id,team_name,club,event_age,gender,division,bracket,coverage,games_365,distinct_opponents,last_game_date,rating,in_db
65155,Fever United 15B C. Smith,Fever United,U11,m,Silver II,Bracket B,RED,0,0,,,yes
490220,Atletico Dallas Youth Pre ECNL G15- Perez,Atletico Dallas Youth,U12,f,11v11 Silver,Bracket A,GREEN,23,19,2026-05-09,1464.28,yes
624292,BVB IA 18B Black East Solares,BVB International Academy Texas,U8,m,7v7 18s Silver,Bracket B,RED,0,0,,1452.15,yes
518001,BC Elite 10/11G,BC Elite,U16,f,HS 1,Bracket A,RED,2,2,2025-12-07,,yes
496328,North Texas Elite 19B Pina,North Texas Elite SC,U7,m,Gold 4v4,Bracket A,RED,0,0,,1491.36,yes
296025,Coppell Youth SA LIGHTNING,Coppell Youth SA,U9,m,7v7 Recreational,Bracket A,RED,8,5,2025-10-25,,yes
647375,Nido Águila 14G Gonzalez,Club America - Tarrant County,U12,f,9v9 Bronze II,Bracket B,RED,0,0,,,yes
210400,Solar ECNL RL 13B Tremblay,Solar SC,U13,m,11v11 Gold,Bracket A,RED,0,0,,,yes
523070,ULETE FC 16B Rab,Ulete FC,U10,m,,,RED,0,0,,,yes
647790,Avanti SA White NPL NTX B11,Avanti Soccer Academy,U15,m,DS Silver,Bracket B,MISSING,0,0,,,no
127797,Dallas Legacy 12G Olguin,Dallas Legacy,U14,f,11v11 Silver,Bracket A,RED,0,0,,,yes
352970,BVB 15B PreECNL Elite (Klassen),BVB International Academy Texas,U11,m,DS 9v9 Silver Elite,Bracket A,RED,0,0,,,yes
209632,NTX Celtic 16B Del Olmo,NTX Celtic FC,U10,m,9v9 Gold,Bracket A,RED,0,0,,,yes
612676,Dallas Surf 2013G NL TX-N,Dallas Surf,U13,f,11v11 Silver,Bracket A,GREEN,57,44,2026-05-09,1726.81,yes
646561,Southside Soccer 14B Black,Southside Soccer,U12,m,9v9 Silver Crossover,Bracket A,RED,1,1,2025-07-28,,yes
274348,Kernow Storm FC G13 API Lynch,Kernow Storm FC,U13,f,11v11 Bronze,Bracket A,RED,0,0,,1485.46,yes
661076,NTX United FC 2018B Balleza,NTX United FC,U8,m,4v4 Bronze,Bracket A,RED,0,0,,,yes
452126,BVB 18B Puma (DeSousa),BVB International Academy Texas,U8,m,7v7 18s Silver,Bracket A,RED,0,0,,1541.83,yes
544815,Athens Futbol Club - 12B Aguilar,Athens Futbol Club,U14,m,11v11 Silver,Bracket A,RED,0,0,,,yes
577503,FC Dallas Youth 16B Palmisano,FC Dallas Youth,U10,m,9v9 16s Silver,Bracket A,RED,0,0,,,yes
620522,DKSC 16B RAMOS,DKSC,U10,m,9v9 16s Silver,Bracket A,RED,0,0,,,yes
564974,Wildcats 18G,Lake Highlands SA,U8,f,4v4 Recreational,Bracket A,MISSING,0,0,,,no
411364,FC Strikers 11B,Strikers FC( Texas),U15,m,DS Silver,Bracket B,RED,0,0,,,yes
338205,Juventus Premier FC 14G Black Cantu,Juventus Premier Futbol Club,U12,f,11v11 Silver,Bracket A,RED,0,0,,1489.01,yes
363837,OK Energy FC 13G ECRL2,Oklahoma Energy FC,U13,f,11v11 Silver,Bracket A,RED,0,0,,,yes
385563,NTX United FC 2010B Costello,NTX United FC,U16,m,DS Bronze Crossover,Bracket A,RED,0,0,,,yes
480477,Atletico Dallas Youth 15G Welge,Atletico Dallas Youth,U11,f,9v9 DS Gold,Bracket B,RED,0,0,,,yes
263642,FC Dallas Youth Pre ECNL G16 Webb,FC Dallas Youth,U10,f,9v9 DS Gold,Bracket A,RED,0,0,,1499.73,yes
206219,Sting Pre-ECNL G14 Kovacevic,Sting Soccer Club,U12,f,11v11 DS Gold,Bracket A,RED,0,0,,1615.42,yes
450608,Sting Attack G13 H Pantoja,Sting Soccer Club,U13,f,11v11 Bronze,Bracket B,RED,0,0,,1436.71,yes
515832,Texoma FC 2011 Boys Red,Texoma Football Club,U15,m,DS Silver Elite,Bracket A,RED,0,0,,,yes
120385,TEXAS UNITED AC 11B ALDAMA,Texas United AC,U15,m,DS Silver Elite,Bracket A,YELLOW,7,5,2026-05-31,,yes
468764,Sting B17 Lucero,Sting Soccer Club,U10,m,9v9 17s,Bracket B,RED,0,0,,1624.15,yes
607909,Blue Dragons Ramirez 20,Mineral Wells Soccer,U6,m,Bronze,Bracket A,MISSING,0,0,,,no
691814,Atletico Dallas Youth 17G South Gray,Atletico Dallas Youth,U9,f,7v7 Bronze II Crossover,Bracket A,RED,3,3,2026-01-04,1426.43,yes
88917,Solar ECNL RL-NTX 11B Red,Solar SC,U15,m,DS Silver,Bracket A,GREEN,22,19,2026-05-18,,yes
122423,NTX Celtic 13B High,NTX Celtic FC,U13,m,11v11 Bronze Crossover,Bracket B,RED,0,0,,,yes
512002,Fort Worth Vaqueros FC 15 Alonzo,Fort Worth Vaqueros FC,U11,m,9v9 Bronze II,Bracket B,RED,0,0,,,yes
438739,Texas Warriors FC 2017G,Texas Warriors FC,U9,f,7v7 Bronze II Crossover,Bracket B,RED,0,0,,1435.47,yes
642320,Solar South 19G Guzman,Solar SC,U7,f,4v4 2019s,Bracket A,RED,0,0,,,yes
614141,ISW Academy 16 Oviedo,ISW Academy,U10,m,,,RED,0,0,,1468.28,yes
